parent_product_code,included_product_code,quantity,unit,source_document,source_printed_page,source_pdf_page,source_table_or_row,note
KLTB 6 E5,FLM 6X12 E5,1,pcs,KAT_NX_KR 2022.pdf,KR 355,359,KLTB 6 E5,One fastener is supplied with each fixing
WWU 150/8,FLM 8X16 F,1,pcs,KAT_NX_KR 2022.pdf,KR 355,359,WWU 150/8,Included fastener
WWU 150/8 E3,FLM 8X16 E3,1,pcs,KAT_NX_KR 2022.pdf,KR 355,359,WWU 150/8 E3,Included fastener
WWU 150/8 E5,SKM 8X16 E5,1,pcs,KAT_NX_KR 2022.pdf,KR 355,359,WWU 150/8 E5,Included fastener
WWA 100,FLM 10X25 F,1,pcs,KAT_NX_KR 2022.pdf,KR 356,360,WWA 100,Included fastener
WWA 100 E3,FLM 10X25 E3,1,pcs,KAT_NX_KR 2022.pdf,KR 356,360,WWA 100 E3,Included fastener
WSV 105.390,FLM 8X13 F,4,pcs,KAT_NX_KR 2022.pdf,KR 426,430,WSV 105.390,Included accessories (Zubehor inkl.)
WSV 105.390 F,FLM 8X13 F,4,pcs,KAT_NX_KR 2022.pdf,KR 426,430,WSV 105.390 F,Included accessories (Zubehor inkl.)
WSV 105.390 E3,FLM 8X16 E3,4,pcs,KAT_NX_KR 2022.pdf,KR 426,430,WSV 105.390 E3,Included accessories (Zubehor inkl.)
WSGV 105,FLM 8X13 F,6,pcs,KAT_NX_KR 2022.pdf,KR 426,430,WSGV 105,Included accessories (Zubehor inkl.)
WSGV 105 F,FLM 8X13 F,6,pcs,KAT_NX_KR 2022.pdf,KR 426,430,WSGV 105 F,Included accessories (Zubehor inkl.)
WSGV 105 E3,FLM 8X16 E3,6,pcs,KAT_NX_KR 2022.pdf,KR 426,430,WSGV 105 E3,Included accessories (Zubehor inkl.)
WSWV 105.390,FLM 8X13 F,6,pcs,KAT_NX_KR 2022.pdf,KR 427,431,WSWV 105.390,Included accessories (Zubehor inkl.)
WSWV 105.390 F,FLM 8X13 F,6,pcs,KAT_NX_KR 2022.pdf,KR 427,431,WSWV 105.390 F,Included accessories (Zubehor inkl.)
WSWV 105.390 E3,FLM 8X16 E3,6,pcs,KAT_NX_KR 2022.pdf,KR 427,431,WSWV 105.390 E3,Included accessories (Zubehor inkl.)
WSTAR 105.200,FLM 8X13 F,12,pcs,KAT_NX_KR 2022.pdf,KR 428,432,WSTAR 105.200,Integrated connector fasteners included
WSTAR 105.300,FLM 8X13 F,12,pcs,KAT_NX_KR 2022.pdf,KR 428,432,WSTAR 105.300,Integrated connector fasteners included
WSTAR 105.400,FLM 8X13 F,12,pcs,KAT_NX_KR 2022.pdf,KR 428,432,WSTAR 105.400,Integrated connector fasteners included
WSTAR 105.500,FLM 8X13 F,12,pcs,KAT_NX_KR 2022.pdf,KR 428,432,WSTAR 105.500,Integrated connector fasteners included
WSTAR 105.600,FLM 8X13 F,12,pcs,KAT_NX_KR 2022.pdf,KR 428,432,WSTAR 105.600,Integrated connector fasteners included
WSTAR 105.200 F,FLM 8X13 F,12,pcs,KAT_NX_KR 2022.pdf,KR 428,432,WSTAR 105.200 F,Integrated connector fasteners included
WSTAR 105.300 F,FLM 8X13 F,12,pcs,KAT_NX_KR 2022.pdf,KR 428,432,WSTAR 105.300 F,Integrated connector fasteners included
WSTAR 105.400 F,FLM 8X13 F,12,pcs,KAT_NX_KR 2022.pdf,KR 428,432,WSTAR 105.400 F,Integrated connector fasteners included
WSTAR 105.500 F,FLM 8X13 F,12,pcs,KAT_NX_KR 2022.pdf,KR 428,432,WSTAR 105.500 F,Integrated connector fasteners included
WSTAR 105.600 F,FLM 8X13 F,12,pcs,KAT_NX_KR 2022.pdf,KR 428,432,WSTAR 105.600 F,Integrated connector fasteners included
WSTAR 105.200 E3,FLM 8X16 E3,12,pcs,KAT_NX_KR 2022.pdf,KR 428,432,WSTAR 105.200 E3,Integrated connector fasteners included
WSTAR 105.300 E3,FLM 8X16 E3,12,pcs,KAT_NX_KR 2022.pdf,KR 428,432,WSTAR 105.300 E3,Integrated connector fasteners included
WSTAR 105.400 E3,FLM 8X16 E3,12,pcs,KAT_NX_KR 2022.pdf,KR 428,432,WSTAR 105.400 E3,Integrated connector fasteners included
WSTAR 105.500 E3,FLM 8X16 E3,12,pcs,KAT_NX_KR 2022.pdf,KR 428,432,WSTAR 105.500 E3,Integrated connector fasteners included
WSTAR 105.600 E3,FLM 8X16 E3,12,pcs,KAT_NX_KR 2022.pdf,KR 428,432,WSTAR 105.600 E3,Integrated connector fasteners included
WAER 105,FLM 8X13 F,10,pcs,KAT_NX_KR 2022.pdf,KR 428,432,WAER 105,Included accessories (Zubehor inkl.)
WAER 105 F,FLM 8X13 F,10,pcs,KAT_NX_KR 2022.pdf,KR 428,432,WAER 105 F,Included accessories (Zubehor inkl.)
WAER 105 E3,FLM 8X16 E3,10,pcs,KAT_NX_KR 2022.pdf,KR 428,432,WAER 105 E3,Included accessories (Zubehor inkl.)
WLAB 200,FK 6X12,2,pcs,KAT_NX_KR 2022.pdf,KR 448,452,WLAB 200,Two bolts are included according to the table
WLAB 200,GSM 406,2,pcs,KAT_NX_KR 2022.pdf,KR 448,452,WLAB 200,Two cage nuts are included according to the table
WLAB 300,FK 6X12,2,pcs,KAT_NX_KR 2022.pdf,KR 448,452,WLAB 300,Two bolts are included according to the table
WLAB 300,GSM 406,2,pcs,KAT_NX_KR 2022.pdf,KR 448,452,WLAB 300,Two cage nuts are included according to the table
WLAB 400,FK 6X12,2,pcs,KAT_NX_KR 2022.pdf,KR 448,452,WLAB 400,Two bolts are included according to the table
WLAB 400,GSM 406,2,pcs,KAT_NX_KR 2022.pdf,KR 448,452,WLAB 400,Two cage nuts are included according to the table
WLAB 500,FK 6X12,2,pcs,KAT_NX_KR 2022.pdf,KR 448,452,WLAB 500,Two bolts are included according to the table
WLAB 500,GSM 406,2,pcs,KAT_NX_KR 2022.pdf,KR 448,452,WLAB 500,Two cage nuts are included according to the table
WLAB 600,FK 6X12,2,pcs,KAT_NX_KR 2022.pdf,KR 448,452,WLAB 600,Two bolts are included according to the table
WLAB 600,GSM 406,2,pcs,KAT_NX_KR 2022.pdf,KR 448,452,WLAB 600,Two cage nuts are included according to the table
WLAB 200 F,FK 6X10 E3,2,pcs,KAT_NX_KR 2022.pdf,KR 448,452,WLAB 200 F,Two bolts are included according to the table
WLAB 200 F,GSM 406 E3,2,pcs,KAT_NX_KR 2022.pdf,KR 448,452,WLAB 200 F,Two cage nuts are included according to the table
WLAB 300 F,FK 6X10 E3,2,pcs,KAT_NX_KR 2022.pdf,KR 448,452,WLAB 300 F,Two bolts are included according to the table
WLAB 300 F,GSM 406 E3,2,pcs,KAT_NX_KR 2022.pdf,KR 448,452,WLAB 300 F,Two cage nuts are included according to the table
WLAB 400 F,FK 6X10 E3,2,pcs,KAT_NX_KR 2022.pdf,KR 448,452,WLAB 400 F,Two bolts are included according to the table
WLAB 400 F,GSM 406 E3,2,pcs,KAT_NX_KR 2022.pdf,KR 448,452,WLAB 400 F,Two cage nuts are included according to the table
WLAB 500 F,FK 6X10 E3,2,pcs,KAT_NX_KR 2022.pdf,KR 448,452,WLAB 500 F,Two bolts are included according to the table
WLAB 500 F,GSM 406 E3,2,pcs,KAT_NX_KR 2022.pdf,KR 448,452,WLAB 500 F,Two cage nuts are included according to the table
WLAB 600 F,FK 6X10 E3,2,pcs,KAT_NX_KR 2022.pdf,KR 448,452,WLAB 600 F,Two bolts are included according to the table
WLAB 600 F,GSM 406 E3,2,pcs,KAT_NX_KR 2022.pdf,KR 448,452,WLAB 600 F,Two cage nuts are included according to the table
