code,description_en,category,product_family,system,catalog_version,pack_quantity,pack_unit,order_unit,ean,height_mm,width_mm,length_mm,material_code,finish_code,weight_value,weight_unit,weight_basis_quantity,weight_basis_unit,approval_number,dop_number,indoor_only,engineering_verification_required,is_orderable,source_document,source_printed_page,source_pdf_page,source_table_or_row,engineering_note
WSV 105.390,Wide-span straight-joint connector,accessory,WSV,WSL,2022-p0,10,pcs,pcs,,105,,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 426,430,WSV 105.390,
WSV 105.390 F,Wide-span straight-joint connector,accessory,WSV,WSL,2022-p0,10,pcs,pcs,,105,,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 426,430,WSV 105.390 F,
WSV 105.390 E3,Wide-span straight-joint connector,accessory,WSV,WSL,2022-p0,10,pcs,pcs,,105,,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 426,430,WSV 105.390 E3,
WSGV 105,Vertical articulated connector,accessory,WSGV,WSL,2022-p0,1,pcs,pcs,,105,,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 426,430,WSGV 105,
WSGV 105 F,Vertical articulated connector,accessory,WSGV,WSL,2022-p0,1,pcs,pcs,,105,,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 426,430,WSGV 105 F,
WSGV 105 E3,Vertical articulated connector,accessory,WSGV,WSL,2022-p0,1,pcs,pcs,,105,,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 426,430,WSGV 105 E3,
WSWV 105.390,Horizontal angle connector,accessory,WSWV,WSL,2022-p0,10,pcs,pcs,,105,,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 427,431,WSWV 105.390,
WSWV 105.390 F,Horizontal angle connector,accessory,WSWV,WSL,2022-p0,10,pcs,pcs,,105,,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 427,431,WSWV 105.390 F,
WSWV 105.390 E3,Horizontal angle connector,accessory,WSWV,WSL,2022-p0,10,pcs,pcs,,105,,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 427,431,WSWV 105.390 E3,
WSTAR 105.200,Attachable T-piece with integrated connector,fitting,WSTAR,WSL,2022-p0,1,pcs,pcs,,105,200,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 428,432,WSTAR 105.200,
WSTAR 105.300,Attachable T-piece with integrated connector,fitting,WSTAR,WSL,2022-p0,1,pcs,pcs,,105,300,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 428,432,WSTAR 105.300,
WSTAR 105.400,Attachable T-piece with integrated connector,fitting,WSTAR,WSL,2022-p0,1,pcs,pcs,,105,400,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 428,432,WSTAR 105.400,
WSTAR 105.500,Attachable T-piece with integrated connector,fitting,WSTAR,WSL,2022-p0,1,pcs,pcs,,105,500,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 428,432,WSTAR 105.500,
WSTAR 105.600,Attachable T-piece with integrated connector,fitting,WSTAR,WSL,2022-p0,1,pcs,pcs,,105,600,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 428,432,WSTAR 105.600,
WSTAR 105.200 F,Attachable T-piece with integrated connector,fitting,WSTAR,WSL,2022-p0,1,pcs,pcs,,105,200,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 428,432,WSTAR 105.200 F,
WSTAR 105.300 F,Attachable T-piece with integrated connector,fitting,WSTAR,WSL,2022-p0,1,pcs,pcs,,105,300,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 428,432,WSTAR 105.300 F,
WSTAR 105.400 F,Attachable T-piece with integrated connector,fitting,WSTAR,WSL,2022-p0,1,pcs,pcs,,105,400,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 428,432,WSTAR 105.400 F,
WSTAR 105.500 F,Attachable T-piece with integrated connector,fitting,WSTAR,WSL,2022-p0,1,pcs,pcs,,105,500,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 428,432,WSTAR 105.500 F,
WSTAR 105.600 F,Attachable T-piece with integrated connector,fitting,WSTAR,WSL,2022-p0,1,pcs,pcs,,105,600,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 428,432,WSTAR 105.600 F,
WSTAR 105.200 E3,Attachable T-piece with integrated connector,fitting,WSTAR,WSL,2022-p0,1,pcs,pcs,,105,200,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 428,432,WSTAR 105.200 E3,
WSTAR 105.300 E3,Attachable T-piece with integrated connector,fitting,WSTAR,WSL,2022-p0,1,pcs,pcs,,105,300,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 428,432,WSTAR 105.300 E3,
WSTAR 105.400 E3,Attachable T-piece with integrated connector,fitting,WSTAR,WSL,2022-p0,1,pcs,pcs,,105,400,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 428,432,WSTAR 105.400 E3,
WSTAR 105.500 E3,Attachable T-piece with integrated connector,fitting,WSTAR,WSL,2022-p0,1,pcs,pcs,,105,500,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 428,432,WSTAR 105.500 E3,
WSTAR 105.600 E3,Attachable T-piece with integrated connector,fitting,WSTAR,WSL,2022-p0,1,pcs,pcs,,105,600,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 428,432,WSTAR 105.600 E3,
WAER 105,Corner attachment piece,accessory,WAER,WSL,2022-p0,1,pcs,pcs,,105,,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 428,432,WAER 105,
WAER 105 F,Corner attachment piece,accessory,WAER,WSL,2022-p0,1,pcs,pcs,,105,,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 428,432,WAER 105 F,
WAER 105 E3,Corner attachment piece,accessory,WAER,WSL,2022-p0,1,pcs,pcs,,105,,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 428,432,WAER 105 E3,
WSBR 105.200,Wide-span 90-degree bend,fitting,WSBR,WSL,2022-p0,1,pcs,pcs,,105,200,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 429,433,WSBR 105.200,
WSBR 105.300,Wide-span 90-degree bend,fitting,WSBR,WSL,2022-p0,1,pcs,pcs,,105,300,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 429,433,WSBR 105.300,
WSBR 105.400,Wide-span 90-degree bend,fitting,WSBR,WSL,2022-p0,1,pcs,pcs,,105,400,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 429,433,WSBR 105.400,
WSBR 105.500,Wide-span 90-degree bend,fitting,WSBR,WSL,2022-p0,1,pcs,pcs,,105,500,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 429,433,WSBR 105.500,
WSBR 105.600,Wide-span 90-degree bend,fitting,WSBR,WSL,2022-p0,1,pcs,pcs,,105,600,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 429,433,WSBR 105.600,
WSBR 105.200 F,Wide-span 90-degree bend,fitting,WSBR,WSL,2022-p0,1,pcs,pcs,,105,200,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 429,433,WSBR 105.200 F,
WSBR 105.300 F,Wide-span 90-degree bend,fitting,WSBR,WSL,2022-p0,1,pcs,pcs,,105,300,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 429,433,WSBR 105.300 F,
WSBR 105.400 F,Wide-span 90-degree bend,fitting,WSBR,WSL,2022-p0,1,pcs,pcs,,105,400,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 429,433,WSBR 105.400 F,
WSBR 105.500 F,Wide-span 90-degree bend,fitting,WSBR,WSL,2022-p0,1,pcs,pcs,,105,500,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 429,433,WSBR 105.500 F,
WSBR 105.600 F,Wide-span 90-degree bend,fitting,WSBR,WSL,2022-p0,1,pcs,pcs,,105,600,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 429,433,WSBR 105.600 F,
WSBR 105.200 E3,Wide-span 90-degree bend,fitting,WSBR,WSL,2022-p0,1,pcs,pcs,,105,200,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 429,433,WSBR 105.200 E3,
WSBR 105.300 E3,Wide-span 90-degree bend,fitting,WSBR,WSL,2022-p0,1,pcs,pcs,,105,300,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 429,433,WSBR 105.300 E3,
WSBR 105.400 E3,Wide-span 90-degree bend,fitting,WSBR,WSL,2022-p0,1,pcs,pcs,,105,400,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 429,433,WSBR 105.400 E3,
WSBR 105.500 E3,Wide-span 90-degree bend,fitting,WSBR,WSL,2022-p0,1,pcs,pcs,,105,500,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 429,433,WSBR 105.500 E3,
WSBR 105.600 E3,Wide-span 90-degree bend,fitting,WSBR,WSL,2022-p0,1,pcs,pcs,,105,600,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 429,433,WSBR 105.600 E3,
WSTR 105.200,Wide-span T-piece,fitting,WSTR,WSL,2022-p0,1,pcs,pcs,,105,200,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 429,433,WSTR 105.200,
WSTR 105.300,Wide-span T-piece,fitting,WSTR,WSL,2022-p0,1,pcs,pcs,,105,300,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 429,433,WSTR 105.300,
WSTR 105.400,Wide-span T-piece,fitting,WSTR,WSL,2022-p0,1,pcs,pcs,,105,400,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 429,433,WSTR 105.400,
WSTR 105.500,Wide-span T-piece,fitting,WSTR,WSL,2022-p0,1,pcs,pcs,,105,500,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 429,433,WSTR 105.500,
WSTR 105.600,Wide-span T-piece,fitting,WSTR,WSL,2022-p0,1,pcs,pcs,,105,600,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 429,433,WSTR 105.600,
WSTR 105.200 F,Wide-span T-piece,fitting,WSTR,WSL,2022-p0,1,pcs,pcs,,105,200,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 429,433,WSTR 105.200 F,
WSTR 105.300 F,Wide-span T-piece,fitting,WSTR,WSL,2022-p0,1,pcs,pcs,,105,300,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 429,433,WSTR 105.300 F,
WSTR 105.400 F,Wide-span T-piece,fitting,WSTR,WSL,2022-p0,1,pcs,pcs,,105,400,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 429,433,WSTR 105.400 F,
WSTR 105.500 F,Wide-span T-piece,fitting,WSTR,WSL,2022-p0,1,pcs,pcs,,105,500,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 429,433,WSTR 105.500 F,
WSTR 105.600 F,Wide-span T-piece,fitting,WSTR,WSL,2022-p0,1,pcs,pcs,,105,600,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 429,433,WSTR 105.600 F,
WSTR 105.200 E3,Wide-span T-piece,fitting,WSTR,WSL,2022-p0,1,pcs,pcs,,105,200,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 429,433,WSTR 105.200 E3,
WSTR 105.300 E3,Wide-span T-piece,fitting,WSTR,WSL,2022-p0,1,pcs,pcs,,105,300,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 429,433,WSTR 105.300 E3,
WSTR 105.400 E3,Wide-span T-piece,fitting,WSTR,WSL,2022-p0,1,pcs,pcs,,105,400,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 429,433,WSTR 105.400 E3,
WSTR 105.500 E3,Wide-span T-piece,fitting,WSTR,WSL,2022-p0,1,pcs,pcs,,105,500,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 429,433,WSTR 105.500 E3,
WSTR 105.600 E3,Wide-span T-piece,fitting,WSTR,WSL,2022-p0,1,pcs,pcs,,105,600,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 429,433,WSTR 105.600 E3,
SKWHM 105,Protective end-cap pair,accessory,SKWHM,WSL,2022-p0,10,pairs,pairs,,105,,,polyethylene,K10,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 429,433,SKWHM 105,
WBL 200,Perforated insert plate,accessory,WBL,WSL,2022-p0,3,m,m,,,200,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 448,452,WBL 200,
WBL 300,Perforated insert plate,accessory,WBL,WSL,2022-p0,3,m,m,,,300,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 448,452,WBL 300,
WBL 400,Perforated insert plate,accessory,WBL,WSL,2022-p0,3,m,m,,,400,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 448,452,WBL 400,
WBL 500,Perforated insert plate,accessory,WBL,WSL,2022-p0,3,m,m,,,500,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 448,452,WBL 500,
WBL 600,Perforated insert plate,accessory,WBL,WSL,2022-p0,3,m,m,,,600,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 448,452,WBL 600,
WLAB 200,Wide-span ladder end outlet plate,accessory,WLAB,WSL,2022-p0,1,pcs,pcs,,,200,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 448,452,WLAB 200,
WLAB 300,Wide-span ladder end outlet plate,accessory,WLAB,WSL,2022-p0,1,pcs,pcs,,,300,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 448,452,WLAB 300,
WLAB 400,Wide-span ladder end outlet plate,accessory,WLAB,WSL,2022-p0,1,pcs,pcs,,,400,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 448,452,WLAB 400,
WLAB 500,Wide-span ladder end outlet plate,accessory,WLAB,WSL,2022-p0,1,pcs,pcs,,,500,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 448,452,WLAB 500,
WLAB 600,Wide-span ladder end outlet plate,accessory,WLAB,WSL,2022-p0,1,pcs,pcs,,,600,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 448,452,WLAB 600,
WLAB 200 F,Wide-span ladder end outlet plate,accessory,WLAB,WSL,2022-p0,1,pcs,pcs,,,200,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 448,452,WLAB 200 F,
WLAB 300 F,Wide-span ladder end outlet plate,accessory,WLAB,WSL,2022-p0,1,pcs,pcs,,,300,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 448,452,WLAB 300 F,
WLAB 400 F,Wide-span ladder end outlet plate,accessory,WLAB,WSL,2022-p0,1,pcs,pcs,,,400,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 448,452,WLAB 400 F,
WLAB 500 F,Wide-span ladder end outlet plate,accessory,WLAB,WSL,2022-p0,1,pcs,pcs,,,500,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 448,452,WLAB 500 F,
WLAB 600 F,Wide-span ladder end outlet plate,accessory,WLAB,WSL,2022-p0,1,pcs,pcs,,,600,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 448,452,WLAB 600 F,
WLAB 200 E3,Wide-span ladder end outlet plate,accessory,WLAB,WSL,2022-p0,1,pcs,pcs,,,200,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 448,452,WLAB 200 E3,
WLAB 300 E3,Wide-span ladder end outlet plate,accessory,WLAB,WSL,2022-p0,1,pcs,pcs,,,300,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 448,452,WLAB 300 E3,
WLAB 400 E3,Wide-span ladder end outlet plate,accessory,WLAB,WSL,2022-p0,1,pcs,pcs,,,400,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 448,452,WLAB 400 E3,
WLAB 500 E3,Wide-span ladder end outlet plate,accessory,WLAB,WSL,2022-p0,1,pcs,pcs,,,500,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 448,452,WLAB 500 E3,
WLAB 600 E3,Wide-span ladder end outlet plate,accessory,WLAB,WSL,2022-p0,1,pcs,pcs,,,600,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 448,452,WLAB 600 E3,
RMP 130,Mounting plate,support,RMP,WSL,2022-p0,10,pcs,pcs,,,,,steel,S,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 449,453,RMP 130,
RMP 130 F,Mounting plate,support,RMP,WSL,2022-p0,10,pcs,pcs,,,,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 449,453,RMP 130 F,
RMP 130 E3,Mounting plate,support,RMP,WSL,2022-p0,10,pcs,pcs,,,,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 449,453,RMP 130 E3,
WSTB 2,Wide-span cable-ladder fixing,wstb,WSTB,WSL,2022-p0,50,pcs,pcs,,,,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 449,453,WSTB 2,
WSTB 2 E3,Wide-span cable-ladder fixing,wstb,WSTB,WSL,2022-p0,50,pcs,pcs,,,,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 449,453,WSTB 2 E3,
