code,description_en,category,product_family,system,catalog_version,pack_quantity,pack_unit,order_unit,ean,height_mm,width_mm,length_mm,material_code,finish_code,weight_value,weight_unit,weight_basis_quantity,weight_basis_unit,approval_number,dop_number,indoor_only,engineering_verification_required,is_orderable,source_document,source_printed_page,source_pdf_page,source_table_or_row,engineering_note
WSL 105.300 E3,"Wide-span cable ladder, rung spacing 300 mm, 16 mm profile slot",straightSection,WSL,WSL,2022-p0,6,m,m,726523,105,300,6000,stainless_1.4301_1.4303,E3,577.02,kg,100,kg_per_100_m,,,false,false,true,KAT_NX_KR 2022.pdf,KR 426,430,WSL 105 E3 width 300,
WSL 105.400 E3,"Wide-span cable ladder, rung spacing 300 mm, 16 mm profile slot",straightSection,WSL,WSL,2022-p0,6,m,m,726547,105,400,6000,stainless_1.4301_1.4303,E3,604.41,kg,100,kg_per_100_m,,,false,false,true,KAT_NX_KR 2022.pdf,KR 426,430,WSL 105 E3 width 400,
WSL 105.500 E3,"Wide-span cable ladder, rung spacing 300 mm, 16 mm profile slot",straightSection,WSL,WSL,2022-p0,6,m,m,726561,105,500,6000,stainless_1.4301_1.4303,E3,630.04,kg,100,kg_per_100_m,,,false,false,true,KAT_NX_KR 2022.pdf,KR 426,430,WSL 105 E3 width 500,
WSL 105.600 E3,"Wide-span cable ladder, rung spacing 300 mm, 16 mm profile slot",straightSection,WSL,WSL,2022-p0,6,m,m,726585,105,600,6000,stainless_1.4301_1.4303,E3,657.43,kg,100,kg_per_100_m,,,false,false,true,KAT_NX_KR 2022.pdf,KR 426,430,WSL 105 E3 width 600,
DAM 6X5,Expansion anchor with flange nut and metric connecting thread,anchor,DAM,concrete,2022-p0,50,pcs,pcs,,,,,steel,V,1.38,kg,100,kg_per_100_pcs,ETA-18/0541,NI 001,false,true,true,1.-Electrical-installation-materials.pdf,156,19,DAM 6X5,"Suitability must be verified against the applicable ETA, substrate condition, edge distances, loads, and installation instructions."
DAM 6X10,Expansion anchor with flange nut and metric connecting thread,anchor,DAM,concrete,2022-p0,50,pcs,pcs,,,,,steel,V,1.3,kg,100,kg_per_100_pcs,ETA-18/0541,NI 001,false,true,true,1.-Electrical-installation-materials.pdf,156,19,DAM 6X10,"Suitability must be verified against the applicable ETA, substrate condition, edge distances, loads, and installation instructions."
DAZ 8X10,Expansion anchor with nut and washer,anchor,DAZ,concrete,2022-p0,50,pcs,pcs,,,,,steel,V,3.16,kg,100,kg_per_100_pcs,ETA-18/0542,NI 002,false,true,true,1.-Electrical-installation-materials.pdf,156,19,DAZ 8X10,"Suitability must be verified against the applicable ETA, substrate condition, edge distances, loads, and installation instructions."
DAZ 10X10,Expansion anchor with nut and washer,anchor,DAZ,concrete,2022-p0,50,pcs,pcs,,,,,steel,V,6.33,kg,100,kg_per_100_pcs,ETA-18/0542,NI 002,false,true,true,1.-Electrical-installation-materials.pdf,156,19,DAZ 10X10,"Suitability must be verified against the applicable ETA, substrate condition, edge distances, loads, and installation instructions."
DAZ 12X10,Expansion anchor with nut and washer,anchor,DAZ,concrete,2022-p0,20,pcs,pcs,,,,,steel,V,10.27,kg,100,kg_per_100_pcs,ETA-18/0542,NI 002,false,true,true,1.-Electrical-installation-materials.pdf,156,19,DAZ 12X10,"Suitability must be verified against the applicable ETA, substrate condition, edge distances, loads, and installation instructions."
DAZ 10X30,Expansion anchor with nut and washer,anchor,DAZ,concrete,2022-p0,25,pcs,pcs,,,,,steel,V,7.32,kg,100,kg_per_100_pcs,ETA-18/0542,NI 002,false,true,true,1.-Electrical-installation-materials.pdf,156,19,DAZ 10X30,"Suitability must be verified against the applicable ETA, substrate condition, edge distances, loads, and installation instructions."
